func_ov010_02112c20 kind:function(thumb,size=0x20) addr:0x02112c20
func_ov010_02112c40 kind:function(thumb,size=0x100) addr:0x02112c40
func_ov010_02112d40 kind:function(arm,size=0x5c) addr:0x02112d40
func_ov010_02112d9c kind:function(arm,size=0x4) addr:0x02112d9c
func_ov010_02112da0 kind:function(arm,size=0x4) addr:0x02112da0
func_ov010_02112da4 kind:function(arm,size=0x4) addr:0x02112da4
func_ov010_02112da8 kind:function(thumb,size=0x94) addr:0x02112da8
func_ov010_02112e3c kind:function(thumb,size=0x90) addr:0x02112e3c
func_ov010_02112ecc kind:function(thumb,size=0x28) addr:0x02112ecc
func_ov010_02112ef4 kind:function(thumb,size=0xc) addr:0x02112ef4
func_ov010_02112f00 kind:function(thumb,size=0xc) addr:0x02112f00
func_ov010_02112f0c kind:function(thumb,size=0xc) addr:0x02112f0c
func_ov010_02112f18 kind:function(thumb,size=0x1c) addr:0x02112f18
func_ov010_02112f34 kind:function(thumb,size=0x2) addr:0x02112f34
func_ov010_02112f38 kind:function(thumb,size=0xc) addr:0x02112f38
func_ov010_02112f44 kind:function(thumb,size=0x2) addr:0x02112f44
func_ov010_02112f48 kind:function(arm,size=0x14) addr:0x02112f48
func_ov010_02112f5c kind:function(arm,size=0x4) addr:0x02112f5c
func_ov010_02112f60 kind:function(arm,size=0x4) addr:0x02112f60
func_ov010_02112f64 kind:function(arm,size=0x4) addr:0x02112f64
func_ov010_02112f68 kind:function(thumb,size=0x18) addr:0x02112f68
func_ov010_02112f80 kind:function(thumb,size=0x64) addr:0x02112f80
func_ov010_02112fe4 kind:function(thumb,size=0x1c) addr:0x02112fe4
func_ov010_02113000 kind:function(thumb,size=0x3c) addr:0x02113000
func_ov010_0211303c kind:function(thumb,size=0x29c) addr:0x0211303c
func_ov010_021132d8 kind:function(thumb,size=0xc) addr:0x021132d8
func_ov010_021132e4 kind:function(thumb,size=0x74) addr:0x021132e4
func_ov010_02113358 kind:function(thumb,size=0xa) addr:0x02113358
func_ov010_02113364 kind:function(thumb,size=0x18) addr:0x02113364
func_ov010_0211337c kind:function(thumb,size=0x1ac) addr:0x0211337c
func_ov010_02113528 kind:function(thumb,size=0x44) addr:0x02113528
func_ov010_0211356c kind:function(thumb,size=0x12) addr:0x0211356c
func_ov010_02113580 kind:function(thumb,size=0x2a) addr:0x02113580
func_ov010_021135ac kind:function(thumb,size=0x2) addr:0x021135ac
func_ov010_021135b0 kind:function(thumb,size=0x6c) addr:0x021135b0
func_ov010_0211361c kind:function(thumb,size=0x30) addr:0x0211361c
