func_ov000_020773c0 kind:function(thumb,size=0x44) addr:0x020773c0
func_ov000_02077404 kind:function(thumb,size=0x22) addr:0x02077404
func_ov000_02077428 kind:function(thumb,size=0x18) addr:0x02077428
func_ov000_02077440 kind:function(thumb,size=0x4) addr:0x02077440
func_ov000_02077444 kind:function(thumb,size=0xe) addr:0x02077444
func_ov000_02077454 kind:function(thumb,size=0x4) addr:0x02077454
func_ov000_02077458 kind:function(thumb,size=0x18) addr:0x02077458
func_ov000_02077470 kind:function(thumb,size=0x4) addr:0x02077470
func_ov000_02077474 kind:function(thumb,size=0x6) addr:0x02077474
func_ov000_0207747c kind:function(thumb,size=0x4) addr:0x0207747c
func_ov000_02077480 kind:function(thumb,size=0x10) addr:0x02077480
func_ov000_02077490 kind:function(thumb,size=0xc) addr:0x02077490
func_ov000_0207749c kind:function(thumb,size=0x26) addr:0x0207749c
func_ov000_020774c4 kind:function(thumb,size=0x8) addr:0x020774c4
func_ov000_020774cc kind:function(thumb,size=0x10) addr:0x020774cc
func_ov000_020774dc kind:function(thumb,size=0x1a) addr:0x020774dc
func_ov000_020774f8 kind:function(thumb,size=0x1e) addr:0x020774f8
func_ov000_02077518 kind:function(thumb,size=0x20) addr:0x02077518
func_ov000_02077538 kind:function(thumb,size=0x2e) addr:0x02077538
func_ov000_02077568 kind:function(thumb,size=0x10) addr:0x02077568
func_ov000_02077578 kind:function(thumb,size=0x5e) addr:0x02077578
func_ov000_020775d8 kind:function(thumb,size=0x18) addr:0x020775d8
func_ov000_020775f0 kind:function(thumb,size=0x44) addr:0x020775f0
func_ov000_02077634 kind:function(thumb,size=0x60) addr:0x02077634
func_ov000_02077694 kind:function(thumb,size=0x58) addr:0x02077694
func_ov000_020776ec kind:function(thumb,size=0x74) addr:0x020776ec
func_ov000_02077760 kind:function(thumb,size=0x4e) addr:0x02077760
func_ov000_020777b0 kind:function(thumb,size=0x12) addr:0x020777b0
func_ov000_020777c4 kind:function(thumb,size=0xc) addr:0x020777c4
func_ov000_020777d0 kind:function(thumb,size=0x12) addr:0x020777d0
func_ov000_020777e4 kind:function(thumb,size=0x8) addr:0x020777e4
func_ov000_020777ec kind:function(thumb,size=0x8) addr:0x020777ec
func_ov000_020777f4 kind:function(thumb,size=0x3c) addr:0x020777f4
func_ov000_02077830 kind:function(thumb,size=0x1c) addr:0x02077830
func_ov000_0207784c kind:function(thumb,size=0x48) addr:0x0207784c
func_ov000_02077894 kind:function(thumb,size=0x44) addr:0x02077894
func_ov000_020778d8 kind:function(thumb,size=0x8) addr:0x020778d8
func_ov000_020778e0 kind:function(thumb,size=0xe) addr:0x020778e0
func_ov000_020778f0 kind:function(thumb,size=0x8) addr:0x020778f0
func_ov000_020778f8 kind:function(thumb,size=0x34) addr:0x020778f8
func_ov000_0207792c kind:function(thumb,size=0x1a) addr:0x0207792c
func_ov000_02077948 kind:function(thumb,size=0x50) addr:0x02077948
func_ov000_02077998 kind:function(thumb,size=0x1a) addr:0x02077998
func_ov000_020779b4 kind:function(thumb,size=0x24) addr:0x020779b4
func_ov000_020779d8 kind:function(thumb,size=0x38) addr:0x020779d8
func_ov000_02077a10 kind:function(thumb,size=0x20) addr:0x02077a10
func_ov000_02077a30 kind:function(thumb,size=0x10) addr:0x02077a30
func_ov000_02077a40 kind:function(thumb,size=0x96) addr:0x02077a40
func_ov000_02077ad8 kind:function(thumb,size=0x20) addr:0x02077ad8
func_ov000_02077af8 kind:function(thumb,size=0x90) addr:0x02077af8
func_ov000_02077b88 kind:function(thumb,size=0xb0) addr:0x02077b88
func_ov000_02077c38 kind:function(thumb,size=0x2c) addr:0x02077c38
func_ov000_02077c64 kind:function(thumb,size=0x20) addr:0x02077c64
func_ov000_02077c84 kind:function(thumb,size=0x70) addr:0x02077c84
func_ov000_02077cf4 kind:function(thumb,size=0x78) addr:0x02077cf4
func_ov000_02077d6c kind:function(thumb,size=0x10) addr:0x02077d6c
func_ov000_02077d7c kind:function(thumb,size=0x2c) addr:0x02077d7c
func_ov000_02077da8 kind:function(thumb,size=0x28) addr:0x02077da8
func_ov000_02077dd0 kind:function(thumb,size=0x16) addr:0x02077dd0
func_ov000_02077de8 kind:function(thumb,size=0x52) addr:0x02077de8
func_ov000_02077e3c kind:function(thumb,size=0x1e) addr:0x02077e3c
func_ov000_02077e5c kind:function(thumb,size=0x308) addr:0x02077e5c
func_ov000_02078164 kind:function(thumb,size=0x58) addr:0x02078164
func_ov000_020781bc kind:function(thumb,size=0x48) addr:0x020781bc
func_ov000_02078204 kind:function(thumb,size=0x30) addr:0x02078204
func_ov000_02078234 kind:function(thumb,size=0x44) addr:0x02078234
func_ov000_02078278 kind:function(thumb,size=0x20) addr:0x02078278
func_ov000_02078298 kind:function(thumb,size=0x7c) addr:0x02078298
func_ov000_02078314 kind:function(thumb,size=0x8) addr:0x02078314
func_ov000_0207831c kind:function(thumb,size=0x24c) addr:0x0207831c
func_ov000_02078568 kind:function(thumb,size=0xb4) addr:0x02078568
func_ov000_0207861c kind:function(thumb,size=0x56) addr:0x0207861c
func_ov000_02078674 kind:function(thumb,size=0x1c) addr:0x02078674
func_ov000_02078690 kind:function(thumb,size=0x11c) addr:0x02078690
func_ov000_020787ac kind:function(thumb,size=0x158) addr:0x020787ac
func_ov000_02078904 kind:function(thumb,size=0x2e) addr:0x02078904
func_ov000_02078934 kind:function(thumb,size=0x38) addr:0x02078934
func_ov000_0207896c kind:function(thumb,size=0x128) addr:0x0207896c
func_ov000_02078a94 kind:function(thumb,size=0x3e) addr:0x02078a94
func_ov000_02078ad4 kind:function(thumb,size=0x36) addr:0x02078ad4
func_ov000_02078b0c kind:function(thumb,size=0x34) addr:0x02078b0c
_ZN18UnkStruct_027e0d3819func_ov000_02078b40Ev kind:function(arm,size=0x24) addr:0x02078b40
_ZN18UnkStruct_027e0d3819func_ov000_02078b64Ev kind:function(arm,size=0x24) addr:0x02078b64
_ZN18UnkStruct_027e0d3819func_ov000_02078b88Ev kind:function(arm,size=0x3c) addr:0x02078b88
_Z19func_ov000_02078bc4i kind:function(thumb,size=0x2c) addr:0x02078bc4
_Z19func_ov000_02078bf0PiS_ kind:function(thumb,size=0x11c) addr:0x02078bf0
func_ov000_02078d0c kind:function(thumb,size=0x24) addr:0x02078d0c
func_ov000_02078d30 kind:function(thumb,size=0x24) addr:0x02078d30
func_ov000_02078d54 kind:function(thumb,size=0x3c) addr:0x02078d54
func_ov000_02078d90 kind:function(thumb,size=0x1a) addr:0x02078d90
func_ov000_02078dac kind:function(thumb,size=0x54) addr:0x02078dac
func_ov000_02078e00 kind:function(thumb,size=0x154) addr:0x02078e00
func_ov000_02078f54 kind:function(arm,size=0x2c) addr:0x02078f54
func_ov000_02078f80 kind:function(arm,size=0x2c) addr:0x02078f80
func_ov000_02078fac kind:function(arm,size=0x14) addr:0x02078fac
func_ov000_02078fc0 kind:function(arm,size=0x14) addr:0x02078fc0
func_ov000_02078fd4 kind:function(arm,size=0x14) addr:0x02078fd4
_Z19func_ov000_02078fe8Pi kind:function(arm,size=0x14) addr:0x02078fe8
func_ov000_02078ffc kind:function(arm,size=0xc) addr:0x02078ffc
func_ov000_02079008 kind:function(arm,size=0x1c) addr:0x02079008
func_ov000_02079024 kind:function(arm,size=0x128) addr:0x02079024
func_ov000_0207914c kind:function(arm,size=0x90) addr:0x0207914c
func_ov000_020791dc kind:function(arm,size=0x30) addr:0x020791dc
_Z19func_ov000_0207920cPiP5Vec3pS_S_ kind:function(arm,size=0x94) addr:0x0207920c
_Z19func_ov000_020792a0Piiii kind:function(arm,size=0x118) addr:0x020792a0
func_ov000_020793b8 kind:function(arm,size=0x18) addr:0x020793b8
func_ov000_020793d0 kind:function(arm,size=0xa0) addr:0x020793d0
func_ov000_02079470 kind:function(arm,size=0x210) addr:0x02079470
func_ov000_02079680 kind:function(arm,size=0xfc) addr:0x02079680
func_ov000_0207977c kind:function(arm,size=0xfc) addr:0x0207977c
func_ov000_02079878 kind:function(arm,size=0x20) addr:0x02079878
_Z19func_ov000_02079898Piii kind:function(arm,size=0x24) addr:0x02079898
_Z19func_ov000_020798bcPii kind:function(arm,size=0x2c) addr:0x020798bc
func_ov000_020798e8 kind:function(arm,size=0x40) addr:0x020798e8
func_ov000_02079928 kind:function(arm,size=0x124) addr:0x02079928
func_ov000_02079a4c kind:function(arm,size=0x44) addr:0x02079a4c
func_ov000_02079a90 kind:function(arm,size=0x24) addr:0x02079a90
func_ov000_02079ab4 kind:function(arm,size=0x80) addr:0x02079ab4
func_ov000_02079b34 kind:function(arm,size=0x20) addr:0x02079b34
func_ov000_02079b54 kind:function(thumb,size=0x22) addr:0x02079b54
func_ov000_02079b78 kind:function(arm,size=0x1c) addr:0x02079b78
func_ov000_02079b94 kind:function(arm,size=0x48) addr:0x02079b94
func_ov000_02079bdc kind:function(thumb,size=0xaa) addr:0x02079bdc
func_ov000_02079c88 kind:function(thumb,size=0x50) addr:0x02079c88
func_ov000_02079cd8 kind:function(thumb,size=0xc) addr:0x02079cd8
func_ov000_02079ce4 kind:function(thumb,size=0xc) addr:0x02079ce4
func_ov000_02079cf0 kind:function(thumb,size=0x38) addr:0x02079cf0
_ZN12GameModePlayC1Ei kind:function(thumb,size=0x2c) addr:0x02079d28
_ZN12GameModePlayD1Ev kind:function(thumb,size=0x24) addr:0x02079d54
_ZN12GameModePlayD0Ev kind:function(thumb,size=0x2c) addr:0x02079d78
_ZN12GameModePlayD2Ev kind:function(thumb,size=0x24) addr:0x02079da4
_ZN12GameModePlay8vfunc_1cEv kind:function(thumb,size=0x10) addr:0x02079dc8
_ZN12GameModePlay8vfunc_20Ev kind:function(thumb,size=0x2) addr:0x02079dd8
func_ov000_02079ddc kind:function(thumb,size=0x14) addr:0x02079ddc
func_ov000_02079df0 kind:function(thumb,size=0x14) addr:0x02079df0
func_ov000_02079e04 kind:function(arm,size=0x38) addr:0x02079e04
func_ov000_02079e3c kind:function(arm,size=0x2c) addr:0x02079e3c
func_ov000_02079e68 kind:function(arm,size=0x4c) addr:0x02079e68
func_ov000_02079eb4 kind:function(arm,size=0x24) addr:0x02079eb4
func_ov000_02079ed8 kind:function(thumb,size=0x22) addr:0x02079ed8
func_ov000_02079efc kind:function(thumb,size=0x3e) addr:0x02079efc
func_ov000_02079f3c kind:function(thumb,size=0x20) addr:0x02079f3c
func_ov000_02079f5c kind:function(thumb,size=0xa0) addr:0x02079f5c
LoadNsbTexturedModel kind:function(thumb,size=0x3a) addr:0x02079ffc
func_ov000_0207a038 kind:function(thumb,size=0x102) addr:0x0207a038
_ZN19Actor_UnkStruct_012C1Ev kind:function(arm,size=0x4c) addr:0x0207a13c
_ZN19Actor_UnkStruct_0a4C1Eiiii kind:function(thumb,size=0x1c) addr:0x0207a188
func_ov000_0207a1a4 kind:function(arm,size=0x24) addr:0x0207a1a4
_ZN19Actor_UnkStruct_0a419func_ov000_0207a1c8EiP5Vec3p kind:function(arm,size=0xcc) addr:0x0207a1c8
func_ov000_0207a294 kind:function(thumb,size=0x44) addr:0x0207a294
func_ov000_0207a2d8 kind:function(arm,size=0x10) addr:0x0207a2d8
func_ov000_0207a2e8 kind:function(thumb,size=0x14) addr:0x0207a2e8
func_ov000_0207a2fc kind:function(arm,size=0x4) addr:0x0207a2fc
func_ov000_0207a300 kind:function(thumb,size=0x8c) addr:0x0207a300
_ZN13SaveInventory4InitEv kind:function(thumb,size=0x56) addr:0x0207a38c
func_ov000_0207a3e4 kind:function(thumb,size=0x32) addr:0x0207a3e4
func_ov000_0207a418 kind:function(thumb,size=0xbc) addr:0x0207a418
func_ov000_0207a4d4 kind:function(thumb,size=0x1a) addr:0x0207a4d4
func_ov000_0207a4f0 kind:function(thumb,size=0x24) addr:0x0207a4f0
func_ov000_0207a514 kind:function(thumb,size=0x98) addr:0x0207a514
func_ov000_0207a5ac kind:function(thumb,size=0x48) addr:0x0207a5ac
func_ov000_0207a5f4 kind:function(thumb,size=0x1e) addr:0x0207a5f4
func_ov000_0207a614 kind:function(thumb,size=0x40) addr:0x0207a614
func_ov000_0207a654 kind:function(thumb,size=0x38) addr:0x0207a654
func_ov000_0207a68c kind:function(thumb,size=0x1e) addr:0x0207a68c
func_ov000_0207a6ac kind:function(thumb,size=0x24) addr:0x0207a6ac
func_ov000_0207a6d0 kind:function(thumb,size=0x18) addr:0x0207a6d0
func_ov000_0207a6e8 kind:function(thumb,size=0x22) addr:0x0207a6e8
func_ov000_0207a70c kind:function(thumb,size=0x24) addr:0x0207a70c
func_ov000_0207a730 kind:function(thumb,size=0x16) addr:0x0207a730
func_ov000_0207a748 kind:function(arm,size=0x4c) addr:0x0207a748
func_ov000_0207a794 kind:function(arm,size=0x1c) addr:0x0207a794
func_ov000_0207a7b0 kind:function(thumb,size=0x28) addr:0x0207a7b0
func_ov000_0207a7d8 kind:function(thumb,size=0x1a) addr:0x0207a7d8
func_ov000_0207a7f4 kind:function(arm,size=0x2c) addr:0x0207a7f4
func_ov000_0207a820 kind:function(arm,size=0xc0) addr:0x0207a820
func_ov000_0207a8e0 kind:function(thumb,size=0x28) addr:0x0207a8e0
func_ov000_0207a908 kind:function(thumb,size=0x30) addr:0x0207a908
func_ov000_0207a938 kind:function(thumb,size=0x18) addr:0x0207a938
func_ov000_0207a950 kind:function(arm,size=0x29c) addr:0x0207a950
func_ov000_0207abec kind:function(arm,size=0x38) addr:0x0207abec
_ZN12TouchControl4InitEv kind:function(thumb,size=0x3c) addr:0x0207ac24
_ZN12TouchControl13IncreaseSpeedEs kind:function(arm,size=0x18) addr:0x0207ac60
_ZN12TouchControl11UpdateFlagsEt kind:function(arm,size=0x118) addr:0x0207ac78
_ZN12TouchControl20UpdateWithStateFlagsEP15TouchStateFlagst kind:function(arm,size=0xdc) addr:0x0207ad90
_ZN12TouchControl6UpdateEP10TouchStatet kind:function(arm,size=0x40) addr:0x0207ae6c
_ZN12TouchControl18func_ov00_0207aeacEv kind:function(arm,size=0x24) addr:0x0207aeac
_ZN12TouchControl19UpdateConditionallyEP10TouchStatet kind:function(arm,size=0x68) addr:0x0207aed0
_ZN12TouchControl18func_ov00_0207af38Etb kind:function(arm,size=0x64) addr:0x0207af38
_ZN12TouchControlD1Ev kind:function(arm,size=0x4) addr:0x0207af9c
func_ov000_0207afa0 kind:function(thumb,size=0x24) addr:0x0207afa0
func_ov000_0207afc4 kind:function(thumb,size=0x34) addr:0x0207afc4
func_ov000_0207aff8 kind:function(thumb,size=0x38) addr:0x0207aff8
func_ov000_0207b030 kind:function(thumb,size=0x6c) addr:0x0207b030
func_ov000_0207b09c kind:function(thumb,size=0x78) addr:0x0207b09c
func_ov000_0207b114 kind:function(thumb,size=0x18) addr:0x0207b114
func_ov000_0207b12c kind:function(thumb,size=0x18) addr:0x0207b12c
func_ov000_0207b144 kind:function(thumb,size=0xa0) addr:0x0207b144
func_ov000_0207b1e4 kind:function(thumb,size=0x18) addr:0x0207b1e4
func_ov000_0207b1fc kind:function(thumb,size=0x7c) addr:0x0207b1fc
func_ov000_0207b278 kind:function(thumb,size=0x10) addr:0x0207b278
_ZN15Struct_027e0db019func_ov000_0207b288Ei kind:function(thumb,size=0x3c) addr:0x0207b288
func_ov000_0207b2c4 kind:function(thumb,size=0x2c) addr:0x0207b2c4
func_ov000_0207b2f0 kind:function(thumb,size=0x44) addr:0x0207b2f0
func_ov000_0207b334 kind:function(thumb,size=0x44) addr:0x0207b334
func_ov000_0207b378 kind:function(arm,size=0xc4) addr:0x0207b378
func_ov000_0207b43c kind:function(arm,size=0xf4) addr:0x0207b43c
func_ov000_0207b530 kind:function(thumb,size=0x2c) addr:0x0207b530
func_ov000_0207b55c kind:function(thumb,size=0x60) addr:0x0207b55c
func_ov000_0207b5bc kind:function(thumb,size=0x264) addr:0x0207b5bc
func_ov000_0207b820 kind:function(arm,size=0x7c) addr:0x0207b820
func_ov000_0207b89c kind:function(arm,size=0x60) addr:0x0207b89c
func_ov000_0207b8fc kind:function(arm,size=0x10) addr:0x0207b8fc
func_ov000_0207b90c kind:function(arm,size=0x7c) addr:0x0207b90c
func_ov000_0207b988 kind:function(thumb,size=0x40) addr:0x0207b988
func_ov000_0207b9c8 kind:function(thumb,size=0x14) addr:0x0207b9c8
func_ov000_0207b9dc kind:function(arm,size=0xb4) addr:0x0207b9dc
func_ov000_0207ba90 kind:function(thumb,size=0x4) addr:0x0207ba90
func_ov000_0207ba94 kind:function(thumb,size=0x20) addr:0x0207ba94
func_ov000_0207bab4 kind:function(arm,size=0x5c) addr:0x0207bab4
func_ov000_0207bb10 kind:function(arm,size=0x4) addr:0x0207bb10
func_ov000_0207bb14 kind:function(arm,size=0x4) addr:0x0207bb14
func_ov000_0207bb18 kind:function(arm,size=0x4) addr:0x0207bb18
func_ov000_0207bb1c kind:function(arm,size=0x30) addr:0x0207bb1c
func_ov000_0207bb4c kind:function(arm,size=0xfc) addr:0x0207bb4c
func_ov000_0207bc48 kind:function(arm,size=0x20) addr:0x0207bc48
func_ov000_0207bc68 kind:function(arm,size=0x14) addr:0x0207bc68
func_ov000_0207bc7c kind:function(thumb,size=0x1e) addr:0x0207bc7c
func_ov000_0207bc9c kind:function(arm,size=0x18) addr:0x0207bc9c
_ZN18UnkStruct_027e0e2c19func_ov000_0207bcb4Ev kind:function(thumb,size=0x28) addr:0x0207bcb4
func_ov000_0207bcdc kind:function(thumb,size=0x70) addr:0x0207bcdc
func_ov000_0207bd4c kind:function(thumb,size=0x50) addr:0x0207bd4c
func_ov000_0207bd9c kind:function(thumb,size=0x38) addr:0x0207bd9c
func_ov000_0207bdd4 kind:function(thumb,size=0x26) addr:0x0207bdd4
func_ov000_0207bdfc kind:function(thumb,size=0x86) addr:0x0207bdfc
func_ov000_0207be84 kind:function(arm,size=0x140) addr:0x0207be84
func_ov000_0207bfc4 kind:function(thumb,size=0x3a) addr:0x0207bfc4
func_ov000_0207c000 kind:function(thumb,size=0x30) addr:0x0207c000
func_ov000_0207c030 kind:function(thumb,size=0x44) addr:0x0207c030
func_ov000_0207c074 kind:function(thumb,size=0x38) addr:0x0207c074
func_ov000_0207c0ac kind:function(thumb,size=0x20) addr:0x0207c0ac
func_ov000_0207c0cc kind:function(thumb,size=0x24) addr:0x0207c0cc
func_ov000_0207c0f0 kind:function(thumb,size=0x28) addr:0x0207c0f0
func_ov000_0207c118 kind:function(thumb,size=0x58) addr:0x0207c118
_ZN18UnkStruct_020ec7dc19func_ov000_0207c170Ev kind:function(thumb,size=0x1e) addr:0x0207c170
func_ov000_0207c190 kind:function(thumb,size=0x1e) addr:0x0207c190
func_ov000_0207c1b0 kind:function(arm,size=0x48) addr:0x0207c1b0
func_ov000_0207c1f8 kind:function(arm,size=0x68) addr:0x0207c1f8
func_ov000_0207c260 kind:function(arm,size=0x88) addr:0x0207c260
func_ov000_0207c2e8 kind:function(arm,size=0x34) addr:0x0207c2e8
func_ov000_0207c31c kind:function(arm,size=0x3c) addr:0x0207c31c
func_ov000_0207c358 kind:function(arm,size=0x44) addr:0x0207c358
func_ov000_0207c39c kind:function(arm,size=0x4c) addr:0x0207c39c
func_ov000_0207c3e8 kind:function(arm,size=0x5c) addr:0x0207c3e8
func_ov000_0207c444 kind:function(arm,size=0x30) addr:0x0207c444
func_ov000_0207c474 kind:function(arm,size=0xa4) addr:0x0207c474
func_ov000_0207c518 kind:function(arm,size=0x98) addr:0x0207c518
func_ov000_0207c5b0 kind:function(thumb,size=0x22) addr:0x0207c5b0
